PSS_SCHOOL_ID,PSS_INSTITUTION,Low Grade,High Grade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9
A9304116,ALEXANDRIA COUNTRY DAY SCHOOL,3,13,2400 RUSSELL RD,ALEXANDRIA,51510,510,VA,51,22301,7035484804,168,6.83,Yes,,14,14,22,15,23,26,29,33,28,
1432368,BISHOP IRETON HIGH SCHOOL,14,17,201 CAMBRIDGE RD,ALEXANDRIA,51510,510,VA,51,22314,7032125190,183,7,Yes,,,,,,,,,,,201
1636066,BLESSED SACRAMENT SCHOOL & EARLY CHILDHOOD CTR,2,13,1417 W BRADDOCK RD,ALEXANDRIA,51510,510,VA,51,22302,7039984170,183,7.25,Yes,67,41,27,27,27,30,23,27,25,25,
A0971723,BRENTWOOD ACADEMY,2,7,3725 NALLS RD,ALEXANDRIA,51059,59,VA,51,22309,7035481268,192,7,No,35,32,12,12,,,,,,,
1433689,BROWNE ACADEMY,2,13,5917 TELEGRAPH RD,ALEXANDRIA,51059,59,VA,51,22310,7039603000,170,7,Yes,45,21,19,16,12,17,24,22,19,24,
1433601,BURGUNDY FARM COUNTRY DAY SCHOOL,2,13,3700 BURGUNDY RD,ALEXANDRIA,51059,59,VA,51,22303,7038420469,170,6.75,Yes,16,30,29,29,29,29,27,31,32,31,
2065361,CALVARY ROAD CHRISTIAN SCHOOL,2,11,6811 BEULAH ST,ALEXANDRIA,51059,59,VA,51,22310,7039718004,181,6.75,Yes,51,17,20,21,29,12,19,13,,,
A0303208,COMMONWEALTH ACADEMY,8,17,1321 LESLIE AVE,ALEXANDRIA,51510,510,VA,51,22301,7035486912,165,8.17,Yes,,,,,2,8,13,18,28,25,14
1432845,ENGLESIDE CHRISTIAN SCHOOL,2,11,8428 HIGHLAND LN,ALEXANDRIA,51059,59,VA,51,22309,7037804332,170,6.92,No,15,2,6,11,5,5,6,5,,,
1433226,EPISCOPAL HIGH SCHOOL,14,17,1200 N QUAKER LN,ALEXANDRIA,51510,510,VA,51,22302,7039334041,175,7,Yes,,,,,,,,,,,97
1432506,GRACE EPISCOPAL SCHOOL,2,10,3601 RUSSELL RD,ALEXANDRIA,51510,510,VA,51,22305,7035495067,171,6.5,Yes,11,34,13,14,14,12,11,,,,
A9301005,IMMANUEL LUTHERAN SCHOOL,2,13,109 BELLAIRE RD,ALEXANDRIA,51510,510,VA,51,22301,7035490155,175,6.67,No,18,21,25,19,11,13,9,12,4,2,
A0508287,LITTLE ACORN PATCH AT KINGSTOWNE,2,3,5801 CASTLEWELLAN DR,ALEXANDRIA,51059,59,VA,51,22315,7038220803,180,8.5,Yes,30,20,,,,,,,,,
1434059,MONTESSORI SCHOOL OF ALEXANDRIA,2,9,6300 FLORENCE LN,ALEXANDRIA,51059,59,VA,51,22310,7039603498,180,6.5,Yes,55,9,11,5,4,2,,,,,
A0702374,POTOMAC CRESCENT WALDORF SCHOOL,2,10,3846 KING ST,ALEXANDRIA,51013,13,VA,51,22302,7034861309,195,7,No,13,27,5,4,7,,4,,,,
1432357,QUEEN OF APOSTLES CATHOLIC SCHOOL,3,13,4409 SANO ST,ALEXANDRIA,51059,59,VA,51,22312,7033540714,180,7,Yes,,24,24,21,22,18,23,19,18,18,
K9306152,ST AIDANS EPISCOPAL DAY SCHOOL,2,4,8531 RIVERSIDE RD,ALEXANDRIA,51059,59,VA,51,22308,7033604160,150,3,Yes,96,30,,,,,,,,,
1432197,ST LOUIS CATHOLIC SCHOOL,2,13,2901 POPKINS LN,ALEXANDRIA,51059,59,VA,51,22306,7037687732,180,7.17,Yes,48,50,52,51,53,54,49,50,54,49,
A1303607,ST LUKE'S DAY SCHOOL,2,4,8009 FORT HUNT RD,ALEXANDRIA,51059,59,VA,51,22308,7037656699,156,4,Yes,40,22,,,,,,,,,
1432335,ST MARY'S ELEMENTARY SCHOOL,2,13,400 GREEN ST,ALEXANDRIA,51510,510,VA,51,22314,7035491646,183,7.25,Yes,18,80,80,80,80,80,80,80,80,80,
1432288,ST RITA SCHOOL,2,13,3801 RUSSELL RD,ALEXANDRIA,51510,510,VA,51,22305,7035481888,183,7,Yes,40,23,23,23,20,23,25,23,25,21,
A1371703,ST STEPHENS ST AGNES DAYSCHOOL,2,17,400 FONTAINE ST,ALEXANDRIA,51510,510,VA,51,22302,7032122730,170,7,Yes,14,47,48,71,59,63,68,92,108,102,106
A0508318,TAUXEMONT COOPERATIVE PRESCHOOL,2,3,7719 FORT HUNT RD,ALEXANDRIA,51059,59,VA,51,22308,7037659266,157,3.5,Yes,64,5,,,,,,,,,
1434671,THE AQUINAS MONTESSORI SCHOOL,2,11,8334 MOUNT VERNON HWY,ALEXANDRIA,51059,59,VA,51,22309,7037808484,169,6.75,Yes,58,32,13,8,8,14,8,3,,,
A1371713,THE DEL RAY MONTESSORI SCHOOL,2,8,100 E WINDSOR AVE RM 204,ALEXANDRIA,51510,510,VA,51,22301,7033801241,196,7,No,32,10,6,7,7,,,,,,
A0903718,THE HOWARD GARDNER SCHOOL,11,17,4913 FRANCONIA RD,ALEXANDRIA,51059,59,VA,51,22310,7038229300,186,6.67,No,,,,,,,,5,3,4,9
